Entry,Spoken,IPA,Written,Script (Text),Script (Image),Mandarin,English
136,anjw,anɖʐʷ,anja,ᠠᠨᠵᠠ,136,犁,plow
137,anqw,anqʷ,anakv,ᠠᠨᠠᡴᡡ,137,钥匙,key
138,anRen bya,anʁɯn bʲa,anahvn biya,ᠠᠨᠠᡥᡡᠨ ᠪᡳᠶᠠ,138,闰月,(of the lunar calendar) intercalary month
139,aNsem,aŋsɯm,anggasambi,ᠠᠩᡤᠠᠰᠠᠮᠪᡳ,139,尝,"to taste, to try the flavor"
140,aNsem,aŋsɯm,angasambi,ᠠᠩᠠᠰᠠᠮᠪᡳ,140,品尝,"to taste, (of a flavor/food) to try, to sample"
141,aNsilm ,aŋɕiɹm,anggasilambi,ᠠᠩᡤᠠᠰᡳᠯᠠᠮᠪᡳ,141,守寡,to be a widow
142,aNsy,aŋsʲ,anggasi,ᠠᠩᡤᠠᠰᡳ,142,寡妇,widow
143,anth,antχ,antaha,ᠠᠨᡨᠠᡥᠠ,143,客人,guest
144,anthelem,antχɯlɯm,antahalambi,ᠠᠨᡨᠠᡥᠠᠯᠠᠮᠪᡳ,144,做客,to be a guest
145,antheXem,antχɯʂɯm,antahaxambi,ᠠᠨᡨᠠᡥᠠᡧᠠᠮᠪᡳ,145,"做客, 客气",to act as a guest; to be polite
146,any,anʲ,aniya,ᠠᠨᡳᠶᠠ,146,年,year
147,aqem,aqɯm,akambi,ᠠᡴᠠᠮᠪᡳ,147,担心,to be anxious; to worry; to be uneasy
148,aqeXqw,aqɯʂqʷ,akacuka,ᠠᡴᠠᠴᡠᡴᠠ,148,令人担心的,worrisome
149,aqsun,aqsun,aksun,ᠠᡴᠰᡠᠨ,149,"呛人的烟, 油烟",smoke that chokes people; soot
150,aqt morin,aqt mɔrin,akta morin ,ᠠᡴᡨᠠ ᠮᠣᡵᡳᠨ,150,骟马,gelding; castrated horse
151,aqtelm,aqtɯɹm,aktalambi,ᠠᡴᡨᠠᠯᠠᠮᠪᡳ,151,骟 ,to castrate
152,aqunem,aqunɯm,akvnambi,ᠠᡴᡡᠨᠠᠮᠪᡳ,152,尽,to go to the limit
153,aqw,aqʷ,akv,ᠠᡴᡡ,153,没有,to not be; to not exist; to not have
154,aRa,aʁa,aga,ᠠᡤᠠ,154,雨,rain
155,arci,artɕi,arci,ᠠᡵᠴᡳ,155,酸奶疙瘩,cheese
156,arem,arɯm,arambi,ᠠᡵᠠᠮᠪᡳ,156,"写, 做","to write; to make, to do"
157,arer bait ,arɯr bajt,arara baita,ᠠᡵᠠᡵᠠ ᠪᠠᡳᡨᠠ,157,做得事,thing(s) one does; work
158,arh,arχ,arga,ᠠᡵᡤᠠ,158,"办法, 谋","method, scheme"
159,ari,ari,ari,ᠠᡵᡳ,159,酸奶,yogurt
160,arqan sem,arqan sɯm,arkan seme ,ᠠᡵᡴᠠᠨ ᠰᡝᠮᡝ,160,好不容易,"with great difficulty, barely, scarcely"
161,arRelem,arʁɯlɯm,argalambi,ᠠᡵᡤᠠᠯᠠᠮᠪᡳ,161,想办法,to scheme; to think of a method
162,arRen,arʁɯn,argan,ᠠᡵᡤᠠᠨ,162,锯齿,"sawtooth, teeth of a saw"
163,arselan,arsɯlan,arselan,ᠠᡵᠰᡝᠯᠠᠨ,163,狮子,lion
164,arsem,arsɯm,arsembi,ᠠᡵᠰᡝᠮᠪᡳ,164,动作,to move/start
165,aRunduu,aʁunduu,ahvn deo,ᠠᡥᡡᠨ ᡩᡝᠣ,165,兄弟,brother
166,aRur,aʁur,agvra,ᠠᡤᡡᡵᠠ,166,工具,"tool, utensile"
167,arven,arvɯn,arbun,ᠠᡵᠪᡠᠨ,167,状态,"appearance, situation, circumstances"
168,as,as,asu,ᠠᠰᡠ,168,网,net
169,as fasaqw,as fasaqʷ,uxan faxan akv,ᡠᡧᠠᠨ ᡶᠠᡧᠠᠨ ᠠᡴᡡ,169,纠缠不清,"disorderly, sloppy"
170,as(aje),as(aɖʐɯ),axa,ᠠᡧᠠ,170,嫂子,elder brother's wife
171,asem,asɯm,axumbi,ᠠᡧᡠᠮᠪᡳ,171,口含,to hold in one's mouth
172,aserem,asɯrɯm,asarambi,ᠠᠰᠠᡵᠠᠮᠪᡳ,172,储藏,to store/preserve
173,asevem,asɯvɯm,axubumbi,ᠠᡧᡠᠪᡠᠮᠪᡳ,173,使口含,causative form of asem (= axumbi)
174,ash ,asχ,asha,ᠠᠰᡥᠠ,174,翅膀,wing
175,ashen ,asχɯn,kvwaran,ᡴᡡᠸᠠᡵᠠᠨ,175,年轻,"young, younger (than)"
176,ashen bo,asχɯn bɔ,ashan boo,ᠠᠰᡥᠠᠨ ᠪᠣᠣ,176,厢房,"wing, side room"
177,ashen nan,asχɯn nan,cumcumbi,ᠴᡠᠮᠴᡠᠮᠪᡳ,177,青年人,young person
178,asheN siNer,asχɯŋ ɕiŋɯr,ashangga singgeri,ᠠᠰᡥᠠᠩᡤᠠ ᠰᡳᠩᡤᡝᡵᡳ,178,蝙蝠,bat
179,asyha,asʲχa,deijiku,ᡩᡝᡳᠵᡳᡴᡠ,179,青春,young adulthood
180,asyhas,asʲχas,wara,ᠸᠠᡵᠠ,180,青年人们,young people
181,asyhat,asʲχat,g'awa,ᡤ᠋ᠠᠸᠠ,181,青年,youth
182,asyhatas,asʲχatas,asihatasa,ᠠᠰᡳᡥᠠᡨᠠᠰᠠ,182,青年们,young people
183,ava,ava,aba,ᠠᠪᠠ,183,哪个地方,where
184,aved genem ,avɯd ɡɯnɯm,aba de genembi,ᠠᠪᠠ ᡩᡝ ᡤᡝᠨᡝᠮᠪᡳ,184,去打围,to go hunting
185,avelem,avɯlɯm,abalambi,ᠠᠪᠠᠯᠠᠮᠪᡳ,185,打猎,to hunt
186,aveRa,avɯʁa,abuha,ᠠᠪᡠᡥᠠ,186,藻,algae
187,avesy,avɯsʲ,abasi,ᠠᠪᠠᠰᡳ,187,猎人,hunter
188,avevem,avɯvɯm,afabumbi,ᠠᡶᠠᠪᡠᠮᠪᡳ,188,"托付, 嘱咐","to entrust; to command, to tell on"
189,awdulm,ɑwduɹm,akdulambi,ᠠᡴᡩᡠᠯᠠᠮᠪᡳ,189,加固,to strengthen; to reinforce
190,awdun,ɑwdun,akdun,ᠠᡴᡩᡠᠨ,190,结实,"strong, sturdy, tough"
191,awjun,ɑwɖʐun,akjan,ᠠᡴᠵᠠᠨ,191,雷,thunder
192,awry,ɑwrʲ,oori,ᠣᠣᡵᡳ,192,精气,"vigor, vitality"
193,aXXem,aʂʂɯm,axxambi,ᠠᡧᡧᠠᠮᠪᡳ,193,动作,to move/start
194,aXXevem,aʂʂɯvɯm,axxabumbi,ᠠᡧᡧᠠᠪᡠᠮᠪᡳ,194,使动,causative form of aXXem (= axxambi)
195,ba,ba,ba ,ᠪᠠ,195,地方,"place, area"
196,baa,baa,bai,ᠪᠠᡳ,196,吧,(final particle)
197,baem,bæm,baimbi,ᠪᠠᡳᠮᠪᡳ,197,求,"to ask, to request"
198,baereN,bærɯŋ,bairengge,ᠪᠠᡳᡵᡝᠩᡤᡝ,198,请求的是,thing(s) asked for
199,baevem,bævɯm,baibumbi,ᠪᠠᡳᠪᡠᠮᠪᡳ,199,需要,(causative form of baem (= baimbi)) to need; to require
200,bah jaq,baχ ɖʐaq,baha jaka,ᠪᠠᡥᠠ ᠵᠠᡴᠠ,200,获品,"game, hunted goods"
201,bahselm,baχsɯɹm,baksalambi,ᠪᠠᡴᠰᠠᠯᠠᠮᠪᡳ,201,束,to be bundled together
202,bahsen,baχsɯn,baksan,ᠪᠠᡴᠰᠠᠨ,202,束,bundle/bunch
203,bahtem,baχtɯm,baktambi,ᠪᠠᡴᡨᠠᠮᠪᡳ,203,容得下,(of capacity) to fit; to be able to contain
204,bai,baj,bai,ᠪᠠᡳ,204,白白的,"aimlessly, in vain, no purpose"
205,baicem,bajʈʂɯm,baicambi,ᠪᠠᡳᠴᠠᠮᠪᡳ,205,搜查,to search
206,bailem,bajlɯm,bayalambi,ᠪᠠᠶᠠᠯᠠᠮᠪᡳ,206,高兴,to be pleased
207,bait,bajt,baita,ᠪᠠᡳᡨᠠ,207,事,"task, affair, incident"
208,baitaqw,bajtaqʷ,baita akv,ᠪᠠᡳᡨᠠ ᠠᡴᡡ,208,没事儿,"all right, no problem, no worries"
209,baitelen,bajtɯlɯn,baitalan,ᠪᠠᡳᡨᠠᠯᠠᠨ,209,用处,use (a way of being used)
210,baitelm,bajtɯɹm,baitalambi,ᠪᠠᡳᡨᠠᠯᠠᠮᠪᡳ,210,用,to use
211,baiteN,bajtɯŋ,baitangga,ᠪᠠᡳᡨᠠᠩᡤᠠ,211,有用,"useful, applicable, usable"
212,baju,baɖʐu,baju,ᠪᠠᠵᡠ,212,烧酒糟,dregs from distilled liquor
213,bal,baɹ,bal,ᠪᠠᠯ,213,狆,Pekingese dog
214,bal bal  bal ,baɹ baɹ baɹ,bal bal bal,ᠪᠠᠯ ᠪᠠᠯ ᠪᠠᠯ,214,唤狗声,dog-calling sound
215,balai,balaj,balai,ᠪᠠᠯᠠᡳ,215,"任意, 放肆, 胡乱","without reason, at random"
216,balaq nimRa,balaq nimʁa,balak nimha,ᠪᠠᠯᠠᡴ ᠨᡳᠮᡥᠠ,216,玉筋鱼,a kind of river fish
217,bambi boro,bambi bɔrɔ,bambi boro,ᠪᠠᠮᠪᡳ ᠪᠣᡵᠣ,217,蒲公英,dandelion
218,bandu,bandu,bandu,ᠪᠠᠨᡩᡠ,218,枡,"“masu"" (square wooden box used to measure rice in Japan)"
219,baniha,baniχa,baniha,ᠪᠠᠨᡳᡥᠠ,219,谢谢,thank you
220,banihalm,baniχaɹm,banihalambi,ᠪᠠᠨᡳᡥᠠᠯᠠᠮᠪᡳ,220,答谢,to thank
221,banin,banin,banin,ᠪᠠᠨᡳᠨ,221,"性格, 性质","nature, character"
222,banjem,banɖʐɯm,banjimbi,ᠪᠠᠨᠵᡳᠮᠪᡳ,222,生,"to bear, to give birth; to be born; to grow, to emerge, to increase; to live, to be alive, to make a living"
223,banjem,banɖʐɯm,banjimbi,ᠪᠠᠨᠵᡳᠮᠪᡳ,223,"活, 生","to live, to be born"
224,banRun,banʁun,banuhvn,ᠪᠠᠨᡠᡥᡡᠨ,224,懒惰,lazy
225,banRuXem,banʁuʂɯm,banuhvxambi,ᠪᠠᠨᡠᡥᡡᡧᠠᠮᠪᡳ,225,发懒,to be lazy
226,bardem,bardɯm,bardambi,ᠪᠠᡵᡩᠠᠮᠪᡳ,226,夸,to boast/praise
227,baRem,baʁɯm,bahambi,ᠪᠠᡥᠠᠮᠪᡳ,227,找到,to find/get
228,baRenem,baʁɯnɯm,bahanambi,ᠪᠠᡥᠠᠨᠠᠮᠪᡳ,228,会,to know how to
229,baRevem,baʁɯvɯm,bahabumbi,ᠪᠠᡥᠠᠪᡠᠮᠪᡳ,229,"打中了, 碰上了",to hit (a target); to run into
230,basem,basɯm,basumbi,ᠪᠠᠰᡠᠮᠪᡳ,230,嘲笑,"to make fun of, to mock"
231,basevem,basɯvɯm,basubumbi,ᠪᠠᠰᡠᠪᡠᠮᠪᡳ,231,被嘲笑,passive form of basem (= basubumbi)
232,bata,bata,bata,ᠪᠠᡨᠠ,232,敌人,enemy
233,batur,batur,baturu,ᠪᠠᡨᡠᡵᡠ,233,勇气,brave
234,bawbei,bɑwbɯj,baobai,ᠪᠠᠣᠪᠠᡳ,234,宝贝,treasure
235,bawha,bɑwχa,booha,ᠪᠣᠣᡥᠠ,235,佳肴,"feast, fine food, delicacies"
236,baws,bɑws,boose,ᠪᠣᠣᠰᡝ,236,包子,steamed bun (Baozi)
237,bayin,bajin,bayan,ᠪᠠᠶᠠᠨ,237,富有,rich
