Entry,Spoken,IPA,Written,Script Version,Script,Mandarin,English
121,amqEn,amqən,ambakan,ᠠᠮᠪᠠᡴᠠᠨ,,稍大,"slightly large, older"
122,amRem,amʁɯm,amgambi,ᠠᠮᡤᠠᠮᠪᡳ,,睡觉,to sleep
123,amsy,amsʲ,amasi,ᠠᠮᠠᠰᡳ,,"往后, 往北","backwards, northwards"
124,amtilm,amtiɹm,amtalambi,ᠠᠮᡨ᠋ᠠᠯᠠᠮᠪᡳ,,品尝,"to taste, to sample"
125,amtin,amtin,amtan,ᠠᠮᡨ᠋ᠠᠨ,,"味, 趣味; 兴趣, 甜","taste, sweet, interest"
126,amtiN,amtiŋ,amtangga,ᠠᠮᡨ᠋ᠠᠩᡤᠠ,,"甜, 味香, 有趣味",tasty; sweet
127,amtyaqw,amtʲaqʷ,amtan akv,ᠠᠮᡨ᠋ᠠᠨ ᠠᡴᡡ,,"无味, 无趣","tasteless, dull"
128,amuran,amuran,amuran,ᠠᠮᡠᡵᠠᠨ,,喜好,"preference, taste"
129,aN,aŋ,angga,ᠠᠩᡤᠠ,,口,mouth
130,an,an,ainu,ᠠᡳ᠌ᠨᡠ,,"怎么, 为什么","how, why"
131,an ,an,an,ᠠᠨ,,平常,"common, ordinary"
132,aN aljem,aŋ aɹɖʐɯm,angga aljambi,ᠠᠩᡤᠠ ᠠᠯᠵᠠᠮᠪᡳ,,松口答应,to give one's consent
133,anE,anə,ainu,ᠠᡳ᠌ᠨᡠ,,什么(强调),How/why (emphasized)
134,anem,anɯm,anambi,ᠠᠨᠠᠮᠪᡳ,,推,to push
135,ani bya,ani bʲa,aniya biya,ᠠᠨᡳᠶᠠ ᠪᡳᠶᠠ,,正月,first month of the lunar year
136,anjw,anɖʐʷ,anja,ᠠᠨᠵᠠ,,犁,plow
137,anqw,anqʷ,anakv,ᠠᠨᠠᡴᡡ,,钥匙,key
138,anRen bya,anʁɯn bʲa,anahvn biya,ᠠᠨᠠᡥᡡᠨ ᠪᡳᠶᠠ,,闰月,(of the lunar calendar) intercalary month
139,aNsem,aŋsɯm,anggasambi,ᠠᠩᡤᠠᠰᠠᠮᠪᡳ,,尝,"to taste, to try the flavor"
140,aNsem,aŋsɯm,angasambi,ᠠᠩᠠᠰᠠᠮᠪᡳ,,品尝,"to taste, (of a flavor/food) to try, to sample"
141,aNsilm ,aŋɕiɹm,anggasilambi,ᠠᠩᡤᠠᠰᡳᠯᠠᠮᠪᡳ,,守寡,to be a widow
142,aNsy,aŋsʲ,anggasi,ᠠᠩᡤᠠᠰᡳ,,寡妇,widow
143,anth,antχ,antaha,ᠠᠨᡨ᠋ᠠᡥᠠ,,客人,guest
144,anthelem,antχɯlɯm,antahalambi,ᠠᠨᡨ᠋ᠠᡥᠠᠯᠠᠮᠪᡳ,,做客,to be a guest
145,antheXem,antχɯʂɯm,antahaxambi,ᠠᠨᡨ᠋ᠠᡥᠠᡧᠠᠮᠪᡳ,,"做客, 客气",to act as a guest; to be polite
146,any,anʲ,aniya,ᠠᠨᡳᠶᠠ,,年,year
147,aqem,aqɯm,akambi,ᠠᡴᠠᠮᠪᡳ,,担心,to be anxious; to worry; to be uneasy
148,aqeXqw,aqɯʂqʷ,akacuka,ᠠᡴᠠᠴᡠᡴᠠ,,令人担心的,worrisome
149,aqsun,aqsun,aksun,ᠠᡴᠰᡠᠨ,,"呛人的烟, 油烟",smoke that chokes people; soot
150,aqt morin,aqt mɔrin,akta morin ,ᠠᡴᡨ᠋ᠠ ᠮᠣᡵᡳᠨ,,骟马,gelding; castrated horse
151,aqtelm,aqtɯɹm,aktalambi,ᠠᡴᡨ᠋ᠠᠯᠠᠮᠪᡳ,,骟 ,to castrate
152,aqunem,aqunɯm,akvnambi,ᠠᡴᡡᠨᠠᠮᠪᡳ,,尽,to go to the limit
153,aqw,aqʷ,akv,ᠠᡴᡡ,,没有,to not be; to not exist; to not have
154,aRa,aʁa,aga,ᠠᡤᠠ,,雨,rain
155,arci,artɕi,arci,ᠠᡵᠴᡳ,,酸奶疙瘩,cheese
156,arem,arɯm,arambi,ᠠᡵᠠᠮᠪᡳ,,"写, 做","to write; to make, to do"
157,arer bait ,arɯr bajt,arara baita,ᠠᡵᠠᡵᠠ ᠪᠠᡳ᠌ᡨ᠋ᠠ,,做得事,thing(s) one does; work
158,arh,arχ,arga,ᠠᡵᡤᠠ,,"办法, 谋","method, scheme"
159,ari,ari,ari,ᠠᡵᡳ,,酸奶,yogurt
160,arqan sem,arqan sɯm,arkan seme ,ᠠᡵᡴᠠᠨ ᠰᡝᠮᡝ,,好不容易,"with great difficulty, barely, scarcely"
161,arRelem,arʁɯlɯm,argalambi,ᠠᡵᡤᠠᠯᠠᠮᠪᡳ,,想办法,to scheme; to think of a method
162,arRen,arʁɯn,argan,ᠠᡵᡤᠠᠨ,,锯齿,"sawtooth, teeth of a saw"
163,arselan,arsɯlan,arselan,ᠠᡵᠰᡝᠯᠠᠨ,,狮子,lion
164,arsem,arsɯm,arsembi,ᠠᡵᠰᡝᠮᠪᡳ,,动作,to move/start
165,aRunduu,aʁunduu,ahvn deo,ᠠᡥᡡᠨ ᡩ᠋ᡝ᠋ᠣ,,兄弟,brother
166,aRur,aʁur,agvra,ᠠᡤᡡᡵᠠ,,工具,"tool, utensile"
167,arven,arvɯn,arbun,ᠠᡵᠪᡠᠨ,,状态,"appearance, situation, circumstances"
168,as,as,asu,ᠠᠰᡠ,,网,net
169,as fasaqw,as fasaqʷ,uxan faxan akv,ᡠᡧᠠᠨ ᡶᠠᡧᠠᠨ ᠠᡴᡡ,,纠缠不清,"disorderly, sloppy"
170,as(aje),as(aɖʐɯ),axa,ᠠᡧᠠ,,嫂子,elder brother's wife
171,asem,asɯm,axumbi,ᠠᡧᡠᠮᠪᡳ,,口含,to hold in one's mouth
172,aserem,asɯrɯm,asarambi,ᠠᠰᠠᡵᠠᠮᠪᡳ,,储藏,to store/preserve
